Sentence,Emotion
기가 막히고 코가 막혀서. 미안해? 미안해?! 이..이… 나도 요즘 갈비 얼마 못 먹는데..너..너..,분노
진짜 미안해.,슬픔
무슨 피장파장이요? 누가 먼저 시작했는데 이제 와서 그런 말씀이세요?,분노
저 그냥은 못 넘어가겠어요.,분노
비켜주세요. 교장선생님.,분노
그래! 가라 가! ,분노
언니? 너 지금 나한테 언니라 그랬어?,놀람
응?,놀람
어? 왔냐?,놀람
아직 안자네? 영화 보는 거야?,놀람
할아버지가 아빨 믿고 아끼신다고?,놀람
근데 너 우리 집엔 웬일이야? 무슨 일 있어?,놀람
너 김치 안 먹어? 왜?,놀람
네?,놀람
글쎄.,슬픔
야! 빨리 문 닫아!,분노
아씨! 진짜 뭐야!,분노
에이 씨..,슬픔
에이. 울지마 아빠. 왜 울어?,슬픔
나도 사윈데.. 맨날 나만 갖고 뭐라 그래..애들 보는데서 무시하고.. 걸핏하면 나가라 그러고..,슬픔
누가 잘하기 싫어서 안하냐? 나도 하느라 하는데 안되는 걸 어쩌라고..안되는 걸..,슬픔
당신들 지금 나 보고 웃는거야? 내가 웃겨? 웃겨?,분노
그래. 사랑하는 우리 아들이 가자면 가야지. 당신들 내가 웃겨?!!,분노
아 왜이래 아빠! 가! 쫌!,분노
내가 웃기냐고! 내가!!,분노
오빠 매운 거 잘 못 먹어?,놀람
그래? 그럼..,놀람
뭐하냐?,놀람
뭘?,놀람
"야, 너 그거 어떻게 알았어?",놀람
어? 누나. 안녕하세요. 아직 계셨네요,놀람
왜?,놀람
네?,놀람
숙우요? ,놀람
오셨어요?,놀람
왜요? ,놀람
네. 와~,놀람
어?,놀람
어? 학생.,놀람
어? 누나! 와. 어떻게 이렇게.,놀람
네?,놀람
네?,놀람
갑자기 여긴 왜?,놀람
뭐?,놀람
찜질방 진짜 처음 와 보세요? ,놀람
정말요? ,놀람
네? 아뇨. 전 됐어요.,놀람
네?,놀람
대신 돈은 내가 낼게. 어? 이게 어디 갔지?,놀람
왜요? 열쇠 잃어버렸어요?,놀람
할머니가 무슨 상관인데?,분노
아..할머니가 뭔데 나 때려?! ,분노
어머어머. 얘 좀 봐. 너 진짜 아줌마한테 혼나 볼래?,분노
할망구 주제에. 왜 때려? 왜 때려? ,분노
이게. 누군 발 없어? ,분노
왜? 무슨 일인데?,놀람
뭐야?,놀람
몰라. 아퍼..,슬픔
이러고 나가자고?,놀람
내놔! 얼른 얼른. 빨리 빨리!,분노
뭘?,놀람
뭘? 넌 왜 이렇게 눈치가 없어. 일기말야! 일기!,분노
일긴 안돼..긴 뭐가 안돼! 내놔! 안내놔? ,분노
무슨! 누가 기다리기나 한대?,분노
언니가 주는 건 아무거나 다~ 좋아. ,행복
아.. 네.,슬픔
아~ 왜 이래~~,슬픔
꾸질꾸질 주제에 감히 반항을 해? 그러고도 무사할 줄 알았어!,분노
아.. 하지 마~,슬픔
뭘 하지 마? 맛 좀 봐라~ ,분노
네. 아줌마. 그럼 저 동생이랑 잠깐 나갔다 와도 돼죠?,행복
응. 너무 너무. ,행복
응? 어..,슬픔
어? 아.. 우리 둘만 있는 거야? ,슬픔
뭐? 아..그럼 내 생일인거 아무도 몰라? ,슬픔
깜짝파티?,놀람
하.. 알았어.,슬픔
몰라.,슬픔
알았어.,슬픔
뭐에요 진짜!!,분노
기다리든 말든 맘대로 해요!,분노
너 뭐하는 거야?,놀람
내놔. 숙제란 말야.,분노
끄러우면 니가 마당에 나가!,분노
절루 안가?! 공부하는데. 쯧! ,분노
뭐가? 나 공부하고 있었다고! 공부! ,분노
아니 왜 사람 말을 못 믿어? 농구하러 가자는데도 안하고 나 진짜 공부하고 있었다고!   ,분노
니가? 절에 가서 한 보름만 버티면 내가 손에 장을 지지마.  ,놀람
누나!,놀람
어! 학생. 어떻게 여기?,놀람
어! 오빠! 절에서 왜 나왔어요? ,놀람
어? 또 어쩐 일로..?,놀람
어? 집 다 왔잖아요. 어떡해요? 진짜 빨리 가요. 이러다 식구들 보겠어요.,놀람
그런 자식은 잡아다 운전대를 꺾어버려야 하는데..,분노
맨날 그렇지 뭐..,슬픔
네?,놀람
네? 네. ,놀람
어? 어디 가요?,놀람
아버님. 급한 결제가 하나 밀려서. 이거부터 좀 처릴.. 아버님? 아버님?!,놀람
어? 어. 뭐? 결제? 어디 어디?,놀람
낮인데 술을 먹어요 언니? ,놀람
내가? 와인 반병에?,놀람
에?!,놀람
네?,놀람
왜 갑자기? ,놀람
네?,놀람
더는.. 더는 못 밟아요. 더는.,슬픔
제가..회사 여비서 엉덩이를 만졌습니다..,슬픔
술 먹고 자다가..저희 집사람 엉덩인줄 알고..,슬픔
아뇨..그냥 무조건 오리발을 내밀었습니다..,슬픔
겁나서요..순간 막 다그치는데 무서웠습니다..가뜩이나 맨날 사고치는 놈으로 찍혀있는데 그런 변명 절대 안 믿어 줄거 같고..,슬픔
안 다쳐서 천만 다행이에요. 얘기 듣고 얼마나 놀랬다구.,놀람
네?,놀람
야! 왜 때려?! 왜?!,분노
넌 내 오빤데 왜 맨날 다른애 편만 들어?!,분노
넌 내 오빠도 아냐!,분노
어? 진짜네. 근데 왜 생각이 안 났지?,놀람
예?,놀람
예? 제가 언제..,놀람
예? 무슨 그런 말을..,놀람
돈 받아 오라고 보냈더니. 이따위 껄 왜 들고 와?,분노
귀하긴. 넌 눈도 없냐? 딱 봐도 싸구려 개뼈다귀 같은 걸. ,분노
담보같은 소리하고 있네. 이 허접한 걸로 담보가 돼?  ,분노
사장말 그렇게 잘 들을 거 왜 우리 회사에 있어? 당장 짐 싸서 사장 밑으로 가! ,분노
어어.. 그거 함부로 가지고 노는 거 아냐.,놀람
놀랬잖아요. 기척도 없이.,놀람
꼭 말꼬리 잡고. 한 두 살만 어렸어도 확 패버리는 건데..,분노
뭐예요?,놀람
이걸 직접 만들었다고요?,놀람
됐고! 야! 너 사람을 왜 밀어? 나한테 무슨 불만 있어?,분노
어쭈구리. 너 일부러 민거구나. 왜? ,분노
어쭈 이게 왜 이러지? 좋아. 너 내가 그냥 넘어갈 거 같애? 두고 봐.,분노
늘 긴장하는 게 좋을 거야. 언젠가 나도 너 확 밀어버릴 거니까.,분노
누나! 괜찮아? ,놀람
왜 그래? ,놀람
왜 그래? 발 뼜어?,놀람
또요?,놀람
네? ,놀람
어?,놀람
네? 무슨..? ,놀람
학원 이제야 마친 거예요? 늦게까지 하네요.,놀람
이제 오세요?,놀람
응?,놀람
아~ 그 할머니 집에 왜 가야되는데? ,분노
씁! 까불래?,분노
나 그 할머니 싫다구!,분노
싫어! ,분노
맞고 갈래? 그냥 갈래?,분노
뭐가?! 그리고 넌 왜 너네 집 놔두고 맨날 여기 있어?,분노
과외? 누구한테? 누나?!!,놀람
자기소개서요?,놀람
네? 그럼 학생이?,놀람
근데 그걸 어떻게 알아요?,놀람
네?,놀람
뭐욧?! ,놀람
아버지도 참 진짜. 이런 애기 안할려고 안할려고 하는데 결국 또 꺼내게 만드네. 지금 그렇게 양보 양보 입에 다시면서 옛날에 엄마한테 좀 그렇게 해주지. 엄마한텐 반찬 쪼가리 하나 양보 안하시더니..,분노
보통 그런걸 취중진담이라 그러죠? 평소 늘 그렇게 생각하고 계셨던 거겠죠.,슬픔
"전 선생님이랑 잘 통하고 취향도 비슷해서 천생연분이라고 생각했는데, 그게 다 연기고 거짓이었다니. 솔직히 좀 기막히고 불쾌하긴 하네요.",분노
미안하실 건 없죠. 취향이란게 다 사람마다 다른데. 오히려 제 고집만 부린 제가 미안하죠. ,슬픔
하.. ,슬픔
예? ,놀람
예? 지금 어디서 그런 배를 구해요. 내일 아침에 들어가세요.,놀람
네? ,놀람
그런 일이 있었어요? 요즘 통 뉴스를 못 봐서..,놀람
그 자식 나한테 걸리기만 해봐요. 그냥 확! ,분노
무술도 했어요?,놀람
하.. 일어나 봐요. 내가 좀 보여줄 테니까.,분노
어떡해? 물집이 이렇게 크게 생겨서. ,놀람
흉터 생길거 같애. 병원 가봐야 될거 같은데. ,슬픔
하..그래 그래. 먹어 먹어. ,분노
누나!,놀람
어? 학원 갔다 와요?,놀람
보기 좋긴 개뿔이..이런 데서 저러고 놀면 민폐야. 민폐.,분노
뭐야? 일부러 밟은 거지?,분노
미쳤어? 무슨 일부러 밟아. ,분노
미쳤다니. 일루와.,분노
악! 이 사람이 진짜. 일부러 그런 거 아니라는데 왜 이래?!,분노
맞는데 어디 발뺌을.,분노
이씨..진짜 아니라고!,분노
왜요?,놀람
네?,놀람
네? 아우. 무슨. 됐어요.,놀람
그게 오늘이야?,놀람
왜? ,놀람
니 저금통을 왜?,놀람
뭐?,놀람
너 여기서 뭐해? ,놀람
진짜? ,놀람
어? 지금 나한테 데이트 신청 하는 거?,놀람
니가 괜찮으면 뭐?! ,분노
공부는 내가 하는 거잖아. 내가 그 누나랑 하는 게 좋다는데 뭐가 문제야?!,분노
까불지 말고 내일부터 당장 새 과외 선생님 찾을 테니까 그런 줄 알고.,분노
싫다고! 난 그 누나 아니면 안해!,분노
죽고 싶어 너? 이게 어디 과외선생님을 쫓아내?    ,분노
그러게 누가 새 과외 구해달래? ,분노
너 까불래 진짜! ,분노
아! 나 분명히 안한다 그랬어. ,분노
좋아. 그래 어디 니가 이기나 내가 이기나 한번 해봐! ,분노
선생님 다섯명을 다 쫓아내? 이게 진짜~,분노
언제까지 그럴래? 언제까지~ ,분노
아!! 나 볼일 보는 중이야~,분노
네 네 ... ..네 놈이었구나 ,놀람
알아보는구나! 그래 나다! 얼마만이냐 내 아버지를 죽인 원수.,분노
그래 ..네놈은 결국 네 애비만도 못한 놈이 되었구나 ! 마카오 뒷골목 건달이 된 주제에 큰소린 ! 나야 말로 죽일 가치도 없는 네놈 땜에 공을 너무 들였어.,분노
죽기전에 말해라 이놈아 ! 죽기전에 네 입으로 토설해라 이놈아 ...네놈이 내 아버질 죽였다고 ! 네 놈이 내 아버지 죽인 살인자라고 ! 어서 말해라고 !   ,분노
나는 사람이 할 수 있는 일만 합니다! 신부님은 신부님이 할 수있는 일만 하시죠,분노
소장! 죄 ... 값은 ... 제 스스로를 죽음으로 몰아넣는 법이요.,놀람
죄 값? 죽음? 그렇게 따지면 세상에 살아남을 자가 뉘죠? ,분노
한번 저지른 악을 은폐시키겠다고 또 다른 악을 저지를 셈이요?,분노
누가요? ....기왕에 육신의 욕망에 눈이 멀었으니 멈추지 말고 내리막 길로 같이 궁글러 가자는게 여자 생각입니다 나는 아니요!,분노
쉬 - 아기가 다 듣는데 여보..,놀람
...... 언제까지 날 여기서 썩게 하실 셈인가? ,분노
후계자? 아버님이 날 후계자로 세울 계획은 있으신 건가?,놀람
저렇게 큰 산을요? 어떻게요? 내가 아빠만큼 이만큼 크면 나쁜 놈들을 혼내줄거야. ,놀람
"잘 들어! 사람이 무례한 야망을 품으면 제 목숨을 잃는 법이야! 내가 너한테 연민이라도 베풀 때, 기회를 이용했어야지 니가 감히, 내 말을,  말을 거역하구 다시 돌아와? 아직도 나를 몰라? 아직도 나를 몰라?",분노
알아?,놀람
"너는.. 너라는 인간은, 아니 인간이 아니야 넌... 내 탯속에서 살아 꿈틀거리는 생명을 끄집어내서 죽여 버린 짐승보다 못한 살인마야…",분노
어떻게 제 손으로 제 자식을 죽일 수 있어? ,분노
내 자식? 미쳤냐? 그 자식은 내 인생 아니 우리 계약 속엔 없었던 자식이야! 서로 참아내지 못한 욕정의 씨앗일 뿐이라구 ! ,분노
"미련하고 어리석고 맹랑하고 무례한 것이, 여기가 어디라고 감히..겁없이 발걸음을 되돌렷? 이생은 물론 내생에 내생까지 먹고 살라고 던져준 예물이나 자알 챙겨서 사라졌어야지. ",분노
천번 만번 나한테 필요한건 예물이 아니라고 말했을 텐데.,분노
제발 사라져라! 네 생명이나마 온전히 붙어 있을 때 떠나라!,분노
그래 내가 죽기 전에 너를 먼저 죽이고 그리고 나서 ...... 떠나자!,분노
미쳤구나!,분노
미친 악마는 네놈이지!,분노
당장 떠나지 않으면 이제는 네 목숨도 보장 못해. ,분노
"내가 하고 싶은 말이야 ...네 목숨이야 말로 내 손에 있단 걸 명심해 ..이제부터 내 인생은 신태환의 인생을, 심장을 갈기갈기 찢어 놓기 위한 인생일테니까.",분노
사라져!,분노
사라져도 안심하지 말아 !,분노
잊어버려!,분노
잊지 말구 기다려 ! 죽지두 말구 기다려! 죽은 너라도 무덤에서 파내서 그 목을 자르고 복수하고 말테니까! ,분노
퇴원하실려면 이틀은 더 계셔야 할텐데 ...,놀람
"이틀 묵을 돈이 워딨어, 이틀 묵을 돈이!",슬픔
외상 달구 나왔다아. 병원비 외상달구 다니는 년은 세상에 너 밖에 없을겨! 다 잘난 남편 만난 죄여. ,분노
지나는 길에 막걸리 한잔 걸치구 갈 참으루 들렸어 잡것아!,분노
아유 젖 먹이는 산모가 술을 마시면 어떻게 해요!,놀람
부탁인데 더 이상 ... 내 인생 걱정하지 말구 자기 갈 길 가 ... 속절 없이 인생 낭비하지 말고! ,분노
차라리 죽으라고 해요 ..난 죽을 힘도 없어 왔으니까 ... 죽으라고 ..차라리 죽으라고 해요. ,슬픔
엄니 다치게 헌놈들 ... 그놈들이 누구예요?,분노
엄니 나 인제 어린애 아니라구요 ,분노
아..!,놀람
느 단임선상님이 병원에 찾아오셨다 ... 니 눔이 헛소릴 허드라고 ... 왜 그런생각을 헌겨? 서울 대학굔 영 버린거냐? 법 공불 해서 신가놈을 법으루 심판하겠다더니 ... 니 에미 놀릴려고 거짓말을 헌겨?,분노
.... 여기서 아부지 생일 선물을 만들고 있었는데 ... 그놈이 들어왔다 ....  아부지가 죽어두 좋으니까 갱을 폭파해 버리라는 명령을 하는거야 그놈 얼굴도 똑똑히 보았어 ,분노
"가슴이 터질것 같았어 .... 우리 아부지가 죽는데, 내가 달려가서 구해야 하는데 ..... 힘이 없는거야 .... 아무리 달려도  달려두 달려지지 않아 ... 아부지가 갱속에 파묻히는데 .. .나는 힘이 없는거야 ... 아빠 죽지마 - ! 우리 아빠를 살려주세요 - ! 우리 아빠를 살려주세요 소리쳤지만 .....아무도 들어주는 사람이 없었어 ... ",분노
아빠를 구할 수 없는 꿈을 얼마나 많이 꾸었는지 아니? 밤마다 폭파소리가 들리는거야 ... 아빠 미안해요 - ! 아빠 미안해요 - ! 아빠 미안해요 - ! 꿈속에서 소리쳤지 .... 지금도 ... 미안 할때가 있어 ... 아빠한테 ..아빠를 구하지 못한 ... ,슬픔
못해! 이 배신자야!,분노
형 왜 그래..취했어?,놀람
이 인간.. 당장 오라 그러라고!!,분노
"형, 앉아. 지금 뭐하는거야?",놀람
그것도 하루이틀이지 돈이 얼마나 깨지는데. ,슬픔
뭔진 몰라도...그냥 사모님한테 싹싹 비세요. 무슨 생고생이에요. ,슬픔
뭐 그지? 아 나. 진짜. 어이가 없네. ,분노
안 간다니까.,분노
아 안 가!! 안 간다고!,분노
네?,놀람
응?,놀람
뭐?,놀람
뭐야 지금? 얘길 시작했으면 끝을 내고 가야될거 아냐!!,분노
너 그 동안 장난친 거지?,분노
뭐?,놀람
사람 갖고 장난친 거 아냐! 니 멋대로 갖고 놀다 아무렇게나 버린거잖아!,분노
야. 너 똑똑히 들어. 먼저 헤어지자고 한 사람 너고 편하게 지내자고 한 사람도 너야. 난 최대한 니 입장 생각해서 배려해 주려고 한 거 밖에 없어.,분노
배려 좋아하시네. 내 입에서 헤어지자는 얘기 나오기만 기다린 사람이 너 아니야? 꾸역꾸역 의무감으로 만나면서 알아서 떨어지기만 기다렸잖아. 그냥 일부러 속아주고 가만있으려고 했는데.  진짜 구역질나서 못 봐주겠다.,분노
니가 뭔데 그런 말을 해? 니가 내 마음 알아? 내 마음 봤어?,분노
"보기 싫어도 다 보이던데? 아니, 일부러 보이게 행동한 거 아니었니? ",분노
너 진짜 끝까지 사람 돌아버리게 만드는구나. ,분노
너도 마찬가지거든. ,분노
..에?,놀람
착불요?,놀람
뭐?,놀람
무슨 돈 얘기하는거야?,놀람
응? ,놀람
어! 오빠! ,놀람
니가 달라고 했어?,놀람
왜 시키지도 않은 짓 하면서 오버하고 그래?,분노
아니..둘이 말을 텄으면 텄다고 얘길 해야지.. 언제 화해했어?,놀람
뭐야? 꼭두새벽부터.,놀람
어디가?,놀람
어? 야..너..왜 그래?,놀람
뭐? ,놀람
이게 진짜!,분노
근데 그럼 나 동생 생기는 거야?,놀람
너 벌써와? 좀 먹을래?,놀람
정말? 축하드린다고 전해줘.,놀람
무슨 소리야? 공평하게 반반했는데.,놀람
아. 왜 이래?,놀람
니가 무슨 갑자기 독립이야?,놀람
같이 가자더니 왜 혼자 했어? ,놀람
집에 가요?,놀람
어? 학생 신발이.,놀람
여보. 미안해. 나 이제 더 이상 당신이랑 애들 볼 낯이 없어서.. 미안해. 나 같은 건 차라리 없는 게 나아. ,슬픔
무슨 말이야 그게? 바보같이. 얼른 일루 와!,분노
미안해. 나 이번엔 진짜 잘해보려고 했었는데.. 진짜 잘해보려고,슬픔
앞으로 잘하면 되잖아!,분노
나 이제 자신이 없어. 잘할 자신이.. 없어..,슬픔
약해빠진 소리 그만해! 태어날 애기 보기 부끄럽지도 않아? 자신 없어도 자신 있는 척! 힘들어도 안 힘든척! 그게 부모노릇이지. 뭐하는 짓이야 이게!  ,분노
뭐? 그럼 나가서 기다릴게.,놀람
뭐?,놀람
"야, 하지마. ",분노
이게 진짜…,분노
돈 오천 때문에 어린애 유괴한 놈도 나쁜 놈이고.. 좁아터진 대한민국 땅덩어리에서 그 나쁜 놈 하나 못 찾아내는 니들은 더 나쁜 새끼들이고.,분노
그게... 정말이야? ,놀람
"안했을 꺼라고 생각합니까? 얘기했지만, 아무도 들어주지 않았습니다.  ",분노
자살이 아니다.. 담당형사도 그 터무니 없는 주장을 인정했다?.. 제정신이야?! 내가 뭐라고 했어. 내 말이 말같지 않아?!,분노
뭐? ,놀람
너..지금 아무 증거도 없이 저 햇병아리가 나불대는 말도 안되는 소설 따위 믿고 이런 거야?!,분노
제보 전화를 노리고 그런 짓을 한 거다? 그런데.. 한통이라도 왔나? ,분노
거짓말... 15년이나 버려진 안경에서 그런 게 발견될 리가 없어. ,공포
진짜 대단해. 얘기한 그 시간에 딱 나타난거야. 다음에 뭐 또 없어? ,놀람
뭐요? 아무나?!,분노
"지금, 같은 경찰이라고 편드는 거에요?",분노
"아, 거 보자보자 하니까 말 한번 더럽게 예쁘게 하네! 당신도 경찰이잖아! ",분노
야! 너 이리와봐. 계급장 떼고 한판 붙자. ,분노
"이게 진짜, 너 지금 사람 하나 더 죽어나가라고 굿하는 거야? ",분노
나가. 지금 사람 바쁜 거 안 보여? 잠도 제대로 못 자서 죽겠구만. 재수없게.. 가라고!,분노
나가라는 말 안들려!!,분노
"그때 형사들한테 다 얘기했다구. 어두워서 얼굴도, 아무것도 기억 안난다고! ",분노
"당신 말대로 우리 마누라 그 험한 일을 겪고도 살아났어. 그런데, 그런 여편네를 죽인게 누군줄 알어? 당신같은 사람들이야.",분노
아빠 일은 죄송해요. 기자들도 그렇고 사람들이 계속 찾아와서.. 많이 힘들어 하셨거든요. ,슬픔
"범인 얼굴도 모르고, 아무것도 모르겠다. 니가 그러고도 경찰이냐?",분노
내놓으라고!!,분노
아무도 타지 않았다구요? 확실해요? ,놀람
사실이야?,놀람
누가.. 관할서 허락도 없이 현장에 들어가래!!,분노
"여, 진짜 너…",분노
이 자식이 계급 좀 높다고 선배가 우습냐?,분노
이 바닥에 상도덕도 없어? 남의 밥상에 왜 숟가락을 꽂아?,분노
26년동안 잠잠하던 놈을 미제사건 수사한다면서 들쑤셔서 자극한 건 니들이야. 저 안에 피해자를 죽게 만든 건 바로… 니들이라구!,분노
이게 진짜 말이면 다 하는 줄 아나?,분노
너 진짜 오랜만에 만나서 말 참 곱게한다. ,분노
이렇게 진짜 끝낼꺼에요?,분노
하지만 지금 그만두고 있잖아요! ,분노
뭐? ,놀람
예? 제가 왜요?  ,놀람
형사분들이요? 저희 이전에 형사가 다녀갔나요?,놀람
"카드 한도초과였고, 핸드폰 통화한 사람도 없었어! 못 믿겠으면 시키질 말던가!",분노
무..무슨 소릴 하는 거야?,놀람
그때.. 아저씨가 제대로 증언만 했어도.. 죽지 않았을 꺼에요. 지금.. 살아있었을 꺼라구요!,분노
제발 그만 하세요. 여기서 끝이 아닙니다. 더 죽일꺼에요. 또 사람을 죽일 꺼라구요! ,분노
똑바로 봐요! 이 사람들한테도 소중한 가족들이 있었다구요. 이 사람들한테 정말 아무런 감정이 없어요? 당연히 미안해야 하는 거잖아요!,분노
아무것도 모르면서.. 아무것도 모르면서 함부로 말하지 마! 우리.. 불쌍한 아들놈은 벌써 죗값을 치렀어. 그때.. 죗값을 치렀다구!,분노
그 미친 놈이... 우리 아들을 저 모양으로 만들었어.. 그런데.. 무슨 벌을 더 받으라구!,분노
아니에요. 형사님이.. 막은 거에요. 더 이상의 살인을.. ,슬픔
가... 다신 오지마. ,분노
...끝까지 숨길 생각이군요,슬픔
우리..아들놈.. 당할만큼 당했어. 안 보여? 앞으로 반병신이 돼서 살아야 해. 평생 침대위에서 살아야 한다구. ,슬픔
내 아들은 엄마없이 자란 불쌍한 놈일 뿐이야.. 앞으론 더 불쌍하게 살겠지.. 그런 놈을.. 더 불쌍하게 만들 순 없어. 돌아가..,슬픔
…네?,놀람
제발 헛소리 그만 좀 하세요.,분노
여기가 무슨 목욕탕입니까? 남성용 여성용 따로있게? 그리고 저기 내주면 우린 어쩌라구? 나가서 노숙하라구요?,분노
창고라니! 창고라니! 우리가 쟤 때문에 왜 창고에서 자야되는 데요!,분노
예?,놀람
그리고.. 한번만 더 여자짓하면서 민폐끼치면 그땐 죽는다.,분노
감사관실에서요?,놀람
범인도 못 잡은게 똥이 나오냐? ,분노
죽고싶지?,분노
누가 그럽니까?,분노
"경찰이 우스워? 경찰 우습게 여기려면, 법 지키면서 살던가. ",분노
무슨 소리에요?,놀람
설득을 하려고 해도 말을 안들어주는데 어떻게 합니까!,분노
나 진짜 아니라니까!,분노
...차... 차안이에요. ,공포
창문은 없구요.. 다 막혀 있어요. 너무.. 추워요... ,공포
지문.. 안 나왔다면서.. 쪽지문 하나 나왔다며! 누구껀지 확인도 안됐다며!,분노
내가 다 밝힐 거야.,분노
우리 딸 어딨어! 어딨냐고!!,분노
도대체 왜! 왜 우리한테 이래! 왜!,분노
"제발.. 우리 딸.. 살려주세요.. 제발... 내가 잘못했으니까, 우리 딸.. 살려주세요. ",슬픔
무슨.. 말같지도 않은..,공포
다들 뭐해? 빨리 이 놈 치워!,분노
너 지금 장난해?,분노
반장님이야말로 나랑 장난해요? ,분노
그래서. 가만히 입다물고 눈치나 보라구요? 이 거지같은 상황에서?,분노
"아, 세상, 참 아름답다!",분노
피해자?! 내 딸이 그 놈 손에 죽었어!!,분노
니가 뭘 안다고! 경찰들이 뭘 안다고!!,분노
그래요. 경찰들 무능하고 거지같은거 나도 알아! 하지만 최소한 당신이 죽인 그 경찰은 아니었어! 당신은 당신을 이해해줄 유일한 경찰을 죽인거라구!,분노
날 이해해? 이 세상에 날 이해해 줄 사람은.. 아무도 없어..,슬픔
..몇 번 얘기해요? 이 차 밖에 없다니까!,분노
예? ,놀람
단순호기심이래잖아. 호기심으로 세 집이나 터는 미친 놈이 어딨어? ,분노
그 뿐만이 아냐. 장물 중에 아직 발견되지 않은 게 있는데 검찰놈들 제대로 수사도 안하고 넘겨버렸다구. ,분노
뭡니까? 뭘 그렇게 잘못했다구 미리 통보도 없이 사람을 쫓아내는 건데요? ,분노
응?,놀람
지금.. 20년 전에 죽은 여자를 찾아달란 얘기에요? ,놀람
남자친구가 되게 부자인가봐? 근데 왜 팔려고?,놀람
진짜.. 그럽니까? ,놀람
예! 알겠습니다!,행복
제가요? ,놀람
누군가 의도적으로 그 시신을 꾸몄다는 겁니까?,놀람
네?! 아니 이런 손바닥만한 게 무슨 옷이라고..,놀람
이게 뭐야? 이게 무슨 옷이야? 이게!,분노
아.. 맞다.,슬픔
너 내가 꼴 보기 싫으니까 당분간 방에만 박혀 있으라 그랬어? 안 그랬어? ,분노
그럼 방에 박혀있지 왜 기어 나왔어?,분노
꼴도 보기 싫으니까 들어가.,분노
어? 그거 추리소설이잖아. ,놀람
뭐?! 실없는 소리 그만하고. 늦었다며. 얼른 나가.,분노
네?,놀람
누나가 우리집 일 도와주는 사람이지 이 일 저 일 막 부려먹는 사람이야?,분노
네?,놀람
어! 조심하세요.,놀람
볼 일 뭐요? 무슨.. 네? 설마 그 볼 일이요? ,놀람
안돼요! 화장실 가야죠. ,놀람
조용히 좀 하세요.,분노
네?,놀람
어? 어..아냐. 아침에 북어국이야?,놀람
정했으면 뭐?,분노
네? 그야 저도 참석해야 되니,놀람
굳이 참석 안 해도 돼. 너는 가급적 참석 못하는 방향으로 생각해봐.,분노
네?,놀람
제가 뭘 어쨌다고 자꾸.. 진짜 너무하세요.,슬픔
저번엔 또 뭐라 그러신 줄 알아? 내가 그날 일만 생각하면 아직도 눈물이 나..,슬픔
그냥 준비하면서 들어. 난 괜찮으니까. 전에..,슬픔
제가 안 괜찮아서 그래요.,분노
어?,놀람
진짜 웬만하면 얘기 다 들어 드리려고 하는데 너무 끝도 없이 하시니까..,분노
뭐?,놀람
내 사랑은 언제나 적자야.,슬픔
네?,놀람
난 사람들한테 사랑을 그렇게 듬뿍 듬뿍 주는데 사람들은 안 그래. 나한테 받은 거에 반에 반도 안 돌려줘.  ,슬픔
하..그거 신기하네. 마술만 좀 배우면 사람들한테 인기 끄는 건 금방이겠다. 그거 어떻게 하는 거야?,놀람
남이야 땀띠가 나건 말건! ,분노
니가 내 아이스크림 먹었지? 딱 보니까 좀 빈거 눈치 챘거든!,분노
뭐어?,놀람
하.. 얘 뻔뻔한 것 좀 봐. 내껄 니가 왜 훔쳐 먹어!,분노
야. 뭐? 절교?! 어이가 없어서. ,분노
내가 왜 너랑 절교를 해?,분노
웃겨? 누구 맘대로! 나 너랑 암 것도 하기 싫거든. 근데 내가 왜 너랑 사이좋게 절교를 해?! 나 너랑 둘이서 절교 같은 거 하기 싫거든!,분노
뭐? 하하하. 완전 어이상실이셔~ 야. 내가 너랑 언제 친구였다고 이제부터 친굴 안하겠대?,분노
뭐? ,놀람
왜?,놀람
그럼 이제부터는 친구야?,행복
네?,놀람
아.. 좀 서운하네.,슬픔
어? 집에 내려간다더니.,놀람
축하해요.,행복
죄송해요. 그냥 좀 쉬고 싶어서요..,슬픔
아니에요. ,슬픔
방에 이렇게 누워만 계시면 기분만 우울해져요. 나가요 우리.,슬픔
아..지금은 별로..,슬픔
에이. 빨리 나가요. 나가서 우리 드라이브나 해요. ,슬픔
예.. 나이 먹고 나선 노을 보면 괜히 서글퍼져서 잘 안 보게 됐었는데.. 오늘은 참 좋네요.,슬픔
앞으로 둘이 함께 할 날들만 생각하면서 즐겁게 살아요. 저렇게 아름다운데 지는 노을이면 어때요?,행복
선생님..,행복
뭐하세요?,놀람
사진이요?,놀람
아. 놀래라. 놀랬잖아요.,놀람
하.. 완전 망했어요.,슬픔
그냥 딱 봐도 나 맘에 안 들어 하고. 그리고 학교는 왜 맨날 되물어보는지 모르겠어요. 이력서에 다 나와 있는데. 사람 기죽이는 것              도 아니고. ,슬픔
몰라요. 몰라. 나 완전 기운 없어. 면접만 봤다하면 몸에 에너지란 에너지는 다 뺏기는 기분이예요.,슬픔
아..씨..얼룩이 안 지워지네..,슬픔
나쁜 기집애.,슬픔
왜 그래? 자매님. 나 좀 당황스러운데..,놀람
너네 집에 전화해봤거든. 숨길게 따로 있지.,슬픔
뭘 어떡해? 보란 듯이 취직해서 열심히 돈 벌어야지. ,슬픔
그렇다고 그 좋아하던 옷이랑 구두까지 다 팔아서.. 너한텐 자식같은 애들이었잖아.,슬픔
